Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-01,5390,5410,5460,5390,5410,5480,5430,5540,5490,5500,5390,5440,5510,9780,13780,13780,13720,13760,13730,13730,13780,13780,14110,14250,14210,14300,14270,14250,14230,14300,14280,14260,14220,14270,12950,10830,10790,10830,10830,10800,10850,10840,10850,10810,10840,10780,10840,7190,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-02,5960,5860,5810,5820,5760,5780,5420,5800,5960,6650,6750,6820,6820,6840,10850,14790,14800,14780,14800,14440,13770,12500,9820,9820,9800,9830,9810,9810,9840,9830,9840,9800,9860,9860,9810,9830,9840,9850,9800,11370,12470,10730,5560,5370,5330,5350,5340,5270,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-03,5070,5300,5360,5290,5230,5230,5200,5240,5260,5240,5190,5150,5150,5230,5230,5240,5260,5170,5130,5180,5000,4910,5000,4950,4810,4850,4850,4890,4710,4750,4830,5730,5820,5780,5900,5900,5880,5830,5780,5910,5890,5910,5820,5890,6050,5890,5930,6040,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-04,6060,5930,6040,6050,6020,6100,6090,6100,6080,5990,6210,5950,6280,6080,6080,6110,6090,6100,6030,6030,5940,5970,5980,5910,5820,5830,5850,5850,5820,5740,8030,15300,15100,15120,15190,15130,15160,14930,15230,15180,15310,15250,15280,15220,15350,15160,14970,14800,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-05,14780,14770,14790,14760,14770,14750,14800,10890,10850,10820,10840,10840,11330,14250,14250,16530,22260,22150,21970,21820,21640,21550,21580,21450,21280,21330,21210,21300,21110,21070,20970,21170,20710,20940,20880,20860,20790,20830,20740,21070,19770,17860,10910,10840,10810,10780,10900,10840,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-06,10750,10860,10870,10770,10850,10820,10840,10810,10830,10820,10840,10780,10840,10830,19400,19300,19100,18950,18890,18950,18820,18760,18740,18580,18370,18610,19440,20580,20290,20360,22520,25630,16480,24420,24500,24490,24380,24440,24500,16700,15180,15200,13390,12260,12310,12270,12330,12290,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-07,12300,12360,12310,12300,12330,12320,12310,12310,12330,12290,12300,12290,12360,12280,13320,13740,13710,13730,13780,13770,13760,13780,13800,13780,13730,13810,13790,13770,13710,13770,13800,13780,13720,13760,13790,13770,13770,13770,13770,13750,13820,13790,13750,13790,13820,13780,13820,13450,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-08,12300,6380,5510,5340,5790,5710,5630,5600,5570,5550,5480,5390,5740,18970,20740,20890,21660,21600,21550,21690,21550,21270,21120,21170,15900,13200,13280,13280,13290,13270,13310,13270,13270,12370,11260,11690,11830,11790,11790,11120,10410,10290,6090,5870,5730,5580,5710,5560,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-09,5680,5550,5570,5520,5530,5620,5520,5590,5540,5550,5460,5460,5520,8860,16400,16530,7720,5790,5780,5850,5690,5720,5780,5740,5630,5710,5660,5730,5620,5600,5700,5670,5560,5540,5610,5590,5490,5500,5710,5900,6000,5840,5990,5870,5920,5890,6000,6070,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2019-03-10,6180,6010,5920,6020,6010,6010,6050,5930,6060,6030,6070,6010,6020,5900,6050,6130,6310,6060,6120,6030,5860,5910,5880,5930,5820,5800,5860,11920,13290,13330,13320,13290,13310,13290,13260,13310,13370,6920,5930,5930,5890,5760,5850,5880,5840,5850,5850,5800,,
